jointName,tauEst,targetTau,error,reachtime,timesincelastentry,timefromstart,pgmtime
FR_0,-0.664062,-0.500000,0.164062,-1,0,499555,0
FR_1,0.023438,-3.000000,-3.023438,-1,0,499606,0
FR_2,0.109375,0.500000,0.390625,-1,0,499612,0
FL_0,0.566406,0.500000,-0.066406,-1,0,499612,0
FL_1,-0.070312,-3.000000,-2.929688,-1,0,499612,0
FL_2,0.000000,0.500000,0.500000,-1,0,499615,0
RR_0,-0.589844,-0.500000,0.089844,-1,0,499615,0
RR_1,-0.023438,-2.582072,-2.558635,-1,0,499615,0
RR_2,-0.035156,0.500000,0.535156,-1,0,499615,0
RL_0,0.617188,0.500000,-0.117188,-1,0,499616,0
RL_1,0.000000,-1.770728,-1.770728,-1,0,499616,0
RL_2,0.000000,0.500000,0.500000,-1,0,499616,0
FR_0,-0.515625,-0.500000,0.015625,1034,1034,500568,1
FR_1,-0.046875,-3.000000,-2.953125,-1,1034,500568,1
FR_2,-0.035156,0.500000,0.535156,-1,1034,500568,1
FL_0,0.691406,0.500000,-0.191406,-1,1034,500568,1
FL_1,0.023438,-3.000000,-3.023438,-1,1034,500568,1
FL_2,0.000000,0.500000,0.500000,-1,1034,500570,1
RR_0,-0.542969,-0.500000,0.042969,-1,1034,500570,1
RR_1,0.246094,-2.582072,-2.828166,-1,1034,500570,1
RR_2,0.000000,0.500000,0.500000,-1,1034,500570,1
RL_0,0.691406,0.500000,-0.191406,-1,1034,500570,1
RL_1,0.023438,-1.770728,-1.794166,-1,1034,500570,1
RL_2,0.035156,0.500000,0.464844,-1,1034,500570,1
FR_0,-0.617188,-0.500000,0.117188,1034,1015,501584,1
FR_1,0.046875,-3.000000,-3.046875,-1,1015,501584,1
FR_2,0.000000,0.500000,0.500000,-1,1015,501585,1
FL_0,0.640625,0.500000,-0.140625,-1,1015,501585,1
FL_1,-0.070312,-3.000000,-2.929688,-1,1015,501585,1
FL_2,0.000000,0.500000,0.500000,-1,1015,501585,1
RR_0,-0.589844,-0.500000,0.089844,-1,1015,501585,1
RR_1,-0.046875,-2.582072,-2.535197,-1,1015,501585,1
RR_2,-0.035156,0.500000,0.535156,-1,1015,501585,1
RL_0,0.617188,0.500000,-0.117188,-1,1015,501604,1
RL_1,-0.023438,-1.770728,-1.747291,-1,1015,501605,1
RL_2,0.000000,0.500000,0.500000,-1,1015,501605,1
FR_0,-0.691406,-0.500000,0.191406,1034,1000,502584,1
FR_1,-0.023438,-3.000000,-2.976562,-1,1000,502585,1
FR_2,0.000000,0.500000,0.500000,-1,1000,502585,1
FL_0,0.691406,0.500000,-0.191406,-1,1000,502585,1
FL_1,0.023438,-3.000000,-3.023438,-1,1000,502585,1
FL_2,-0.035156,0.500000,0.535156,-1,1000,502585,1
RR_0,-0.617188,-0.500000,0.117188,-1,1000,502585,1
RR_1,0.023438,-2.582072,-2.605510,-1,1000,502585,1
RR_2,0.070312,0.500000,0.429688,-1,1000,502585,1
RL_0,0.664062,0.500000,-0.164062,-1,1000,502586,1
RL_1,0.023438,-1.770728,-1.794166,-1,1000,502586,1
RL_2,-0.035156,0.500000,0.535156,-1,1000,502586,1
FR_0,-0.589844,-0.500000,0.089844,1034,998,503583,1
FR_1,0.023438,-3.000000,-3.023438,-1,998,503583,1
FR_2,0.035156,0.500000,0.464844,-1,998,503583,1
FL_0,0.664062,0.500000,-0.164062,-1,998,503584,1
FL_1,0.000000,-3.000000,-3.000000,-1,998,503584,1
FL_2,0.000000,0.500000,0.500000,-1,998,503584,1
RR_0,-0.566406,-0.500000,0.066406,-1,998,503584,1
RR_1,0.000000,-2.582072,-2.582072,-1,998,503584,1
RR_2,0.000000,0.500000,0.500000,-1,998,503584,1
RL_0,0.468750,0.500000,0.031250,-1,998,503584,1
RL_1,0.000000,-1.770728,-1.770728,-1,998,503584,1
RL_2,0.070312,0.500000,0.429688,-1,998,503584,1
FR_0,-0.617188,-0.500000,0.117188,1034,1001,504585,1
FR_1,0.000000,-3.000000,-3.000000,-1,1001,504585,1
FR_2,-0.109375,0.500000,0.609375,-1,1001,504585,1
FL_0,0.566406,0.500000,-0.066406,-1,1001,504585,1
FL_1,0.000000,-3.000000,-3.000000,-1,1001,504585,1
FL_2,-0.035156,0.500000,0.535156,-1,1001,504606,1
RR_0,-0.542969,-0.500000,0.042969,-1,1001,504606,1
RR_1,-0.046875,-2.582072,-2.535197,-1,1001,504606,1
RR_2,-0.035156,0.500000,0.535156,-1,1001,504606,1
RL_0,0.664062,0.500000,-0.164062,-1,1001,504606,1
RL_1,-0.070312,-1.770728,-1.700416,-1,1001,504606,1
RL_2,0.000000,0.500000,0.500000,-1,1001,504606,1
FR_0,-0.589844,-0.500000,0.089844,1034,999,505584,1
FR_1,-0.023438,-3.000000,-2.976562,-1,999,505585,1
FR_2,0.000000,0.500000,0.500000,-1,999,505585,1
FL_0,0.640625,0.500000,-0.140625,-1,999,505585,1
FL_1,0.000000,-3.000000,-3.000000,-1,999,505585,1
FL_2,0.035156,0.500000,0.464844,-1,999,505585,1
RR_0,-0.617188,-0.500000,0.117188,-1,999,505585,1
RR_1,0.023438,-2.582072,-2.605510,-1,999,505585,1
RR_2,-0.035156,0.500000,0.535156,-1,999,505585,1
RL_0,0.691406,0.500000,-0.191406,-1,999,505586,1
RL_1,0.023438,-1.770728,-1.794166,-1,999,505586,1
RL_2,0.000000,0.500000,0.500000,-1,999,505586,1
FR_0,-0.640625,-0.500000,0.140625,1034,996,506581,1
FR_1,0.000000,-3.000000,-3.000000,-1,996,506581,1
FR_2,0.035156,0.500000,0.464844,-1,996,506581,1
FL_0,0.589844,0.500000,-0.089844,-1,996,506582,1
FL_1,-0.070312,-3.000000,-2.929688,-1,996,506582,1
FL_2,-0.035156,0.500000,0.535156,-1,996,506582,1
RR_0,-0.589844,-0.500000,0.089844,-1,996,506582,1
RR_1,0.023438,-2.582072,-2.605510,-1,996,506582,1
RR_2,-0.035156,0.500000,0.535156,-1,996,506582,1
RL_0,0.617188,0.500000,-0.117188,-1,996,506582,1
RL_1,-0.023438,-1.770728,-1.747291,-1,996,506582,1
RL_2,0.000000,0.500000,0.500000,-1,996,506582,1
FR_0,-0.617188,-0.500000,0.117188,1034,1015,507596,1
FR_1,-0.023438,-3.000000,-2.976562,-1,1015,507596,1
FR_2,-0.144531,0.500000,0.644531,-1,1015,507596,1
FL_0,0.691406,0.500000,-0.191406,-1,1015,507596,1
FL_1,-0.023438,-3.000000,-2.976562,-1,1015,507596,1
FL_2,0.183594,0.500000,0.316406,-1,1015,507596,1
RR_0,-0.664062,-0.500000,0.164062,-1,1015,507596,1
RR_1,0.046875,-2.582072,-2.628947,-1,1015,507597,1
RR_2,-0.035156,0.500000,0.535156,-1,1015,507597,1
RL_0,0.640625,0.500000,-0.140625,-1,1015,507597,1
RL_1,0.000000,-1.770728,-1.770728,-1,1015,507597,1
RL_2,0.000000,0.500000,0.500000,-1,1015,507597,1
FR_0,-0.589844,-0.500000,0.089844,1034,988,508585,1
FR_1,-2.941406,-3.000000,-0.058594,-1,988,508585,1
FR_2,0.070312,0.500000,0.429688,-1,988,508585,1
FL_0,0.468750,0.500000,0.031250,-1,988,508585,1
FL_1,-2.816406,-3.000000,-0.183594,-1,988,508585,1
FL_2,0.000000,0.500000,0.500000,-1,988,508585,1
RR_0,-0.515625,-0.500000,0.015625,9051,988,508586,1
RR_1,-2.445312,-2.582072,-0.136760,-1,988,508586,1
RR_2,-0.109375,0.500000,0.609375,-1,988,508586,1
RL_0,0.515625,0.500000,-0.015625,9051,988,508586,1
RL_1,-1.628906,-1.770728,-0.141822,-1,988,508586,1
RL_2,0.000000,0.500000,0.500000,-1,988,508586,1
FR_0,-0.441406,-0.500000,-0.058594,1034,1004,509589,1
FR_1,-2.917969,-3.000000,-0.082031,-1,1004,509589,1
FR_2,0.480469,0.500000,0.019531,10055,1004,509589,1
FL_0,0.566406,0.500000,-0.066406,-1,1004,509589,1
FL_1,-2.964844,-3.000000,-0.035156,-1,1004,509590,1
FL_2,0.332031,0.500000,0.167969,-1,1004,509590,1
RR_0,-0.492188,-0.500000,-0.007812,0,1004,509590,1
RR_1,-2.570312,-2.582072,-0.011760,10055,1004,509590,1
RR_2,0.332031,0.500000,0.167969,-1,1004,509590,1
RL_0,0.492188,0.500000,0.007812,0,1004,509609,1
RL_1,-1.656250,-1.770728,-0.114478,-1,1004,509609,1
RL_2,0.406250,0.500000,0.093750,-1,1004,509609,1
FR_0,-0.714844,-0.500000,0.214844,1034,993,510583,1
FR_1,-2.867188,-3.000000,-0.132812,-1,993,510583,1
FR_2,0.515625,0.500000,-0.015625,0,993,510584,1
FL_0,0.417969,0.500000,0.082031,-1,993,510584,1
FL_1,-2.890625,-3.000000,-0.109375,-1,993,510584,1
FL_2,0.406250,0.500000,0.093750,-1,993,510584,1
RR_0,-0.441406,-0.500000,-0.058594,0,993,510584,1
RR_1,-2.742188,-2.408301,0.333886,10055,993,510584,1
RR_2,0.406250,0.500000,0.093750,-1,993,510584,1
RL_0,0.542969,0.500000,-0.042969,0,993,510585,1
RL_1,-1.656250,-1.770728,-0.114478,-1,993,510585,1
RL_2,0.367188,0.500000,0.132812,-1,993,510585,1
